date,close,volume
2023-11-06,"2,638.0",300.34K
2023-11-07,"2,633.2",307.71K
2023-11-08,"2,614.8",596.37K
2023-11-09,"2,611.6",584.29K
2023-11-10,"2,598.8",346.45K
2023-11-13,"2,577.2",471.74K
2023-11-14,"2,600.0",2.31M
2023-11-15,"2,620.0",883.28K
2023-11-16,"2,569.0",1.16M
2023-11-17,"2,572.0",478.47K
2023-11-20,"2,573.4",573.76K
2023-11-21,"2,572.6",341.51K
2023-11-22,"2,573.4",486.33K
2023-11-23,"2,559.2",585.44K
2023-11-24,"2,594.6",1.01M
2023-11-27,"2,593.2",1.90M
2023-11-28,"2,602.6",809.72K
2023-11-29,"2,574.0",903.23K
2023-11-30,"2,523.4",1.10M
2023-12-01,"2,420.6",1.68M
2023-12-04,"2,397.8",1.24M
2023-12-05,"2,418.6",646.26K
2023-12-06,"2,320.6",1.30M
2023-12-07,"2,349.8",1.01M
2023-12-08,"2,337.6",696.95K
2023-12-11,"2,207.6",2.09M
2023-12-12,"2,257.0",1.88M
2023-12-13,"2,266.8",1.09M
2023-12-14,"2,157.6",1.56M
2023-12-15,"2,224.4",2.09M
2023-12-18,"2,250.4",1.39M
2023-12-19,"2,242.2",899.86K
2023-12-20,"2,288.8",2.25M
2023-12-21,"2,267.2",944.84K
